season,week,week_c,team_id,celeb_id,partner_id,j_total,j_pct,y_judge,trend_val,g_raw,g_z_within_sw,m_s,is_withdrew,withdrew_week,results,placement
1,1,-1.923076923076923,John O'Hurley__Charlotte Jorgensen,John O'Hurley,Charlotte Jorgensen,20.0,0.1834862385321084,-0.4765985354160216,0.0,0.0,0.0,0,False,,2nd Place,2
1,1,-1.923076923076923,Kelly Monaco__Alec Mazo,Kelly Monaco,Alec Mazo,13.0,0.11926605504587047,-1.1239189342646552,0.0,0.0,0.0,0,False,,1st Place,1
1,1,-1.923076923076923,Evander Holyfield__Edyta Sliwinska,Evander Holyfield,Edyta Sliwinska,18.0,0.16513761467889757,-0.6615472208013455,0.0,0.0,0.0,0,False,,Eliminated Week 3,5
1,1,-1.923076923076923,Rachel Hunter__Jonathan Roberts,Rachel Hunter,Jonathan Roberts,20.0,0.1834862385321084,-0.4765985354160216,0.0,0.0,0.0,0,False,,Eliminated Week 4,4
1,1,-1.923076923076923,Joey McIntyre__Ashly DelGrosso,Joey McIntyre,Ashly DelGrosso,20.0,0.1834862385321084,-0.4765985354160216,0.0,0.0,0.0,0,False,,3rd Place,3
1,1,-1.923076923076923,Trista Sutter__Louis van Amstel,Trista Sutter,Louis van Amstel,18.0,0.16513761467889757,-0.6615472208013455,0.0,0.0,0.0,0,False,,Eliminated Week 2,6
2,1,-2.6923076923076925,Tatum O'Neal__Nick Kosovich,Tatum O'Neal,Nick Kosovich,23.0,0.11794871794871735,-0.540226508067283,0.0,0.0,0.0,0,False,,Eliminated Week 2,9
2,1,-2.6923076923076925,Tia Carrere__Maksim Chmerkoskiy,Tia Carrere,Maksim Chmerkoskiy,20.0,0.10256410256410205,-0.7717521543818348,0.0,0.0,0.0,0,False,,Eliminated Week 5,6
2,1,-2.6923076923076925,George Hamilton__Edyta Sliwinska,George Hamilton,Edyta Sliwinska,18.0,0.09230769230769184,-0.9261025852582028,0.0,0.0,0.0,0,False,,Eliminated Week 6,5
2,1,-2.6923076923076925,Lisa Rinna__Louis van Amstel,Lisa Rinna,Louis van Amstel,19.0,0.09743589743589694,-0.8489273698200189,0.0,0.0,0.0,0,False,,Eliminated Week 7,4
2,1,-2.6923076923076925,Stacy Keibler__Tony Dovolani,Stacy Keibler,Tony Dovolani,22.0,0.11282051282051224,-0.6174017235054671,0.0,0.0,0.0,0,False,,3rd Place,3
2,1,-2.6923076923076925,Jerry Rice__Anna Trebunskaya,Jerry Rice,Anna Trebunskaya,21.0,0.10769230769230714,-0.6945769389436509,0.0,0.0,0.0,0,False,,2nd Place,2
2,1,-2.6923076923076925,Giselle Fernandez__Jonathan Roberts,Giselle Fernandez,Jonathan Roberts,23.0,0.11794871794871735,-0.540226508067283,0.0,0.0,0.0,0,False,,Eliminated Week 3,8
2,1,-2.6923076923076925,Master P__Ashly DelGrosso,Master P,Ashly DelGrosso,12.0,0.06153846153846122,-1.3891538778873067,0.0,0.0,0.0,0,False,,Eliminated Week 4,7
2,1,-2.6923076923076925,Drew Lachey__Cheryl Burke,Drew Lachey,Cheryl Burke,24.0,0.12307692307692245,-0.46305129262909905,0.0,0.0,0.0,0,False,,1st Place,1
2,1,-2.6923076923076925,Kenny Mayne__Andrea Hale,Kenny Mayne,Andrea Hale,13.0,0.06666666666666633,-1.3119786624491225,0.0,0.0,0.0,0,False,,Eliminated Week 1,10
3,1,-3.203125,Harry Hamlin__Ashly DelGrosso,Harry Hamlin,Ashly DelGrosso,17.0,0.08018867924528264,-0.8565396116234684,0.0,0.0,0.0,0,False,,Eliminated Week 3,9
3,1,-3.203125,Vivica A. Fox__Nick Kosovich,Vivica A. Fox,Nick Kosovich,22.0,0.1037735849056599,-0.5909459336006857,0.0,0.0,0.0,0,False,,Eliminated Week 4,8
3,1,-3.203125,Monique Coleman__Louis van Amstel,Monique Coleman,Louis van Amstel,19.0,0.08962264150943354,-0.7503021404143554,0.0,0.0,0.0,0,False,,Eliminated Week 8,4
3,1,-3.203125,Joey Lawrence__Edyta Sliwinska,Joey Lawrence,Edyta Sliwinska,21.0,0.09905660377358444,-0.6440646692052423,0.0,0.0,0.0,0,False,,3rd Place,3
3,1,-3.203125,Mario Lopez__Karina Smirnoff,Mario Lopez,Karina Smirnoff,26.0,0.12264150943396168,-0.37847099118245975,0.0,0.0,0.0,0,False,,2nd Place,2
3,1,-3.203125,Emmitt Smith__Cheryl Burke,Emmitt Smith,Cheryl Burke,24.0,0.1132075471698108,-0.48470846239157267,0.0,0.0,0.0,0,False,,1st Place,1
3,1,-3.203125,Shanna Moakler__Jesse DeSoto,Shanna Moakler,Jesse DeSoto,18.0,0.0849056603773581,-0.8034208760189118,0.0,0.0,0.0,0,False,,Eliminated Week 2,10
3,1,-3.203125,Willa Ford__Maksim Chmerkoskiy,Willa Ford,Maksim Chmerkoskiy,22.0,0.1037735849056599,-0.5909459336006857,0.0,0.0,0.0,0,False,,Eliminated Week 5,7
3,1,-3.203125,Sara Evans__Tony Dovolani,Sara Evans,Tony Dovolani,15.0,0.07075471698113174,-0.9627770828325815,0.0,0.0,0.0,0,True,5.0,Withdrew,6
3,1,-3.203125,Jerry Springer__Kym Johnson,Jerry Springer,Kym Johnson,16.0,0.0754716981132072,-0.9096583472280249,0.0,0.0,0.0,0,False,,Eliminated Week 7,5
3,1,-3.203125,Tucker Carlson__Elena Grinenko,Tucker Carlson,Elena Grinenko,12.0,0.0566037735849054,-1.122133289646251,0.0,0.0,0.0,0,False,,Eliminated Week 1,11
